[2025-10-04 15:07:30] Dispositivo: Pico W_11f0bb, Leitura: 124, Horario: 2025-10-04 15:07:31, Temp: 27.0, Umid: 51.1
[2025-10-04 15:07:53] Dispositivo: Pico W_11f0bb, Leitura: 125, Horario: 2025-10-04 15:07:53, Temp: 27.1, Umid: 50.6
[2025-10-04 15:08:15] Dispositivo: Pico W_11f0bb, Leitura: 126, Horario: 2025-10-04 15:08:15, Temp: 27.1, Umid: 50.5
[2025-10-04 15:08:37] Dispositivo: Pico W_11f0bb, Leitura: 127, Horario: 2025-10-04 15:08:38, Temp: 27.0, Umid: 50.6
[2025-10-04 15:09:00] Dispositivo: Pico W_11f0bb, Leitura: 128, Horario: 2025-10-04 15:09:00, Temp: 27.1, Umid: 51.2
[2025-10-04 15:09:22] Dispositivo: Pico W_11f0bb, Leitura: 129, Horario: 2025-10-04 15:09:22, Temp: 27.1, Umid: 50.6
[2025-10-04 15:09:44] Dispositivo: Pico W_11f0bb, Leitura: 130, Horario: 2025-10-04 15:09:45, Temp: 27.1, Umid: 50.6
[2025-10-04 15:10:07] Dispositivo: Pico W_11f0bb, Leitura: 131, Horario: 2025-10-04 15:10:07, Temp: 27.1, Umid: 50.5
[2025-10-04 15:10:29] Dispositivo: Pico W_11f0bb, Leitura: 132, Horario: 2025-10-04 15:10:29, Temp: 27.1, Umid: 50.5
[2025-10-04 15:10:51] Dispositivo: Pico W_11f0bb, Leitura: 133, Horario: 2025-10-04 15:10:51, Temp: 27.1, Umid: 50.5
[2025-10-04 15:11:13] Dispositivo: Pico W_11f0bb, Leitura: 134, Horario: 2025-10-04 15:11:14, Temp: 27.1, Umid: 50.5
[2025-10-04 15:11:36] Dispositivo: Pico W_11f0bb, Leitura: 135, Horario: 2025-10-04 15:11:36, Temp: 27.1, Umid: 50.5
[2025-10-04 15:11:58] Dispositivo: Pico W_11f0bb, Leitura: 136, Horario: 2025-10-04 15:11:58, Temp: 27.1, Umid: 50.5
[2025-10-04 15:12:20] Dispositivo: Pico W_11f0bb, Leitura: 137, Horario: 2025-10-04 15:12:21, Temp: 27.1, Umid: 50.7
[2025-10-04 15:12:43] Dispositivo: Pico W_11f0bb, Leitura: 138, Horario: 2025-10-04 15:12:43, Temp: 27.1, Umid: 50.9
[2025-10-04 15:13:05] Dispositivo: Pico W_11f0bb, Leitura: 139, Horario: 2025-10-04 15:13:05, Temp: 27.1, Umid: 51.2
[2025-10-04 15:13:27] Dispositivo: Pico W_11f0bb, Leitura: 140, Horario: 2025-10-04 15:13:28, Temp: 27.1, Umid: 50.9
[2025-10-04 15:13:50] Dispositivo: Pico W_11f0bb, Leitura: 141, Horario: 2025-10-04 15:13:50, Temp: 27.1, Umid: 50.8
[2025-10-04 15:14:12] Dispositivo: Pico W_11f0bb, Leitura: 142, Horario: 2025-10-04 15:14:12, Temp: 27.1, Umid: 51.0
[2025-10-04 15:14:34] Dispositivo: Pico W_11f0bb, Leitura: 143, Horario: 2025-10-04 15:14:34, Temp: 27.1, Umid: 50.9
[2025-10-04 15:14:57] Dispositivo: Pico W_11f0bb, Leitura: 144, Horario: 2025-10-04 15:14:57, Temp: 27.1, Umid: 50.9
[2025-10-04 15:15:19] Dispositivo: Pico W_11f0bb, Leitura: 145, Horario: 2025-10-04 15:15:19, Temp: 27.1, Umid: 50.9
[2025-10-04 15:15:41] Dispositivo: Pico W_11f0bb, Leitura: 146, Horario: 2025-10-04 15:15:41, Temp: 27.1, Umid: 50.9
[2025-10-04 15:16:03] Dispositivo: Pico W_11f0bb, Leitura: 147, Horario: 2025-10-04 15:16:04, Temp: 27.1, Umid: 51.0
[2025-10-04 15:16:26] Dispositivo: Pico W_11f0bb, Leitura: 148, Horario: 2025-10-04 15:16:26, Temp: 27.1, Umid: 50.9
[2025-10-04 15:16:48] Dispositivo: Pico W_11f0bb, Leitura: 149, Horario: 2025-10-04 15:16:48, Temp: 27.1, Umid: 50.9
[2025-10-04 15:17:10] Dispositivo: Pico W_11f0bb, Leitura: 150, Horario: 2025-10-04 15:17:11, Temp: 27.1, Umid: 50.9
[2025-10-04 15:17:33] Dispositivo: Pico W_11f0bb, Leitura: 151, Horario: 2025-10-04 15:17:33, Temp: 27.1, Umid: 50.9
[2025-10-04 15:17:55] Dispositivo: Pico W_11f0bb, Leitura: 152, Horario: 2025-10-04 15:17:55, Temp: 27.1, Umid: 50.9
[2025-10-04 15:18:17] Dispositivo: Pico W_11f0bb, Leitura: 153, Horario: 2025-10-04 15:18:18, Temp: 27.2, Umid: 50.9
[2025-10-04 15:18:40] Dispositivo: Pico W_11f0bb, Leitura: 154, Horario: 2025-10-04 15:18:40, Temp: 27.2, Umid: 50.9
[2025-10-04 15:19:02] Dispositivo: Pico W_11f0bb, Leitura: 155, Horario: 2025-10-04 15:19:02, Temp: 27.2, Umid: 50.9
[2025-10-04 15:19:24] Dispositivo: Pico W_11f0bb, Leitura: 156, Horario: 2025-10-04 15:19:24, Temp: 27.2, Umid: 51.0
[2025-10-04 15:19:47] Dispositivo: Pico W_11f0bb, Leitura: 157, Horario: 2025-10-04 15:19:47, Temp: 27.2, Umid: 50.9
[2025-10-04 15:20:09] Dispositivo: Pico W_11f0bb, Leitura: 158, Horario: 2025-10-04 15:20:09, Temp: 27.2, Umid: 50.9
[2025-10-04 15:20:31] Dispositivo: Pico W_11f0bb, Leitura: 159, Horario: 2025-10-04 15:20:31, Temp: 27.2, Umid: 50.9
[2025-10-04 15:20:53] Dispositivo: Pico W_11f0bb, Leitura: 160, Horario: 2025-10-04 15:20:54, Temp: 27.2, Umid: 51.0
