[2025-10-03 18:59:06] Dispositivo: Pico W_11f60f, Leitura: 72, Horario: 2025-10-03 18:59:07, Temp: 23.3, Umid: 70.8
[2025-10-03 18:59:08] Dispositivo: Pico W_11f0bb, Leitura: 72, Horario: 2025-10-03 18:59:08, Temp: 23.2, Umid: 69.4
[2025-10-03 18:59:28] Dispositivo: Pico W_11f60f, Leitura: 73, Horario: 2025-10-03 18:59:29, Temp: 23.2, Umid: 70.7
[2025-10-03 18:59:30] Dispositivo: Pico W_11f0bb, Leitura: 73, Horario: 2025-10-03 18:59:30, Temp: 23.2, Umid: 69.3
[2025-10-03 18:59:51] Dispositivo: Pico W_11f60f, Leitura: 74, Horario: 2025-10-03 18:59:51, Temp: 23.2, Umid: 70.9
[2025-10-03 18:59:52] Dispositivo: Pico W_11f0bb, Leitura: 74, Horario: 2025-10-03 18:59:53, Temp: 23.1, Umid: 69.5
[2025-10-03 19:00:13] Dispositivo: Pico W_11f60f, Leitura: 75, Horario: 2025-10-03 19:00:14, Temp: 23.2, Umid: 70.9
[2025-10-03 19:00:14] Dispositivo: Pico W_11f0bb, Leitura: 75, Horario: 2025-10-03 19:00:15, Temp: 23.1, Umid: 69.5
[2025-10-03 19:00:35] Dispositivo: Pico W_11f60f, Leitura: 76, Horario: 2025-10-03 19:00:36, Temp: 23.2, Umid: 70.8
[2025-10-03 19:00:37] Dispositivo: Pico W_11f0bb, Leitura: 76, Horario: 2025-10-03 19:00:37, Temp: 23.1, Umid: 69.4
[2025-10-03 19:00:58] Dispositivo: Pico W_11f60f, Leitura: 77, Horario: 2025-10-03 19:00:58, Temp: 23.2, Umid: 70.8
[2025-10-03 19:00:59] Dispositivo: Pico W_11f0bb, Leitura: 77, Horario: 2025-10-03 19:00:59, Temp: 23.1, Umid: 69.5
[2025-10-03 19:01:20] Dispositivo: Pico W_11f60f, Leitura: 78, Horario: 2025-10-03 19:01:21, Temp: 23.2, Umid: 70.8
[2025-10-03 19:01:21] Dispositivo: Pico W_11f0bb, Leitura: 78, Horario: 2025-10-03 19:01:22, Temp: 23.1, Umid: 69.4
[2025-10-03 19:01:43] Dispositivo: Pico W_11f60f, Leitura: 79, Horario: 2025-10-03 19:01:43, Temp: 23.2, Umid: 70.8
[2025-10-03 19:01:44] Dispositivo: Pico W_11f0bb, Leitura: 79, Horario: 2025-10-03 19:01:44, Temp: 23.1, Umid: 69.5
[2025-10-03 19:02:05] Dispositivo: Pico W_11f60f, Leitura: 80, Horario: 2025-10-03 19:02:05, Temp: 23.2, Umid: 71.1
[2025-10-03 19:02:06] Dispositivo: Pico W_11f0bb, Leitura: 80, Horario: 2025-10-03 19:02:06, Temp: 23.1, Umid: 69.7
[2025-10-03 19:02:27] Dispositivo: Pico W_11f60f, Leitura: 81, Horario: 2025-10-03 19:02:27, Temp: 23.2, Umid: 71.0
[2025-10-03 19:02:28] Dispositivo: Pico W_11f0bb, Leitura: 81, Horario: 2025-10-03 19:02:29, Temp: 23.1, Umid: 69.6
[2025-10-03 19:02:49] Dispositivo: Pico W_11f60f, Leitura: 82, Horario: 2025-10-03 19:02:50, Temp: 23.1, Umid: 71.0
[2025-10-03 19:02:50] Dispositivo: Pico W_11f0bb, Leitura: 82, Horario: 2025-10-03 19:02:51, Temp: 23.0, Umid: 69.6
[2025-10-03 19:03:12] Dispositivo: Pico W_11f60f, Leitura: 83, Horario: 2025-10-03 19:03:12, Temp: 23.1, Umid: 71.0
[2025-10-03 19:03:13] Dispositivo: Pico W_11f0bb, Leitura: 83, Horario: 2025-10-03 19:03:13, Temp: 23.0, Umid: 69.8
[2025-10-03 19:03:34] Dispositivo: Pico W_11f60f, Leitura: 84, Horario: 2025-10-03 19:03:34, Temp: 23.0, Umid: 71.2
[2025-10-03 19:03:35] Dispositivo: Pico W_11f0bb, Leitura: 84, Horario: 2025-10-03 19:03:36, Temp: 23.0, Umid: 69.9
[2025-10-03 19:03:56] Dispositivo: Pico W_11f60f, Leitura: 85, Horario: 2025-10-03 19:03:57, Temp: 23.0, Umid: 71.3
[2025-10-03 19:03:57] Dispositivo: Pico W_11f0bb, Leitura: 85, Horario: 2025-10-03 19:03:58, Temp: 22.9, Umid: 69.9
[2025-10-03 19:04:19] Dispositivo: Pico W_11f60f, Leitura: 86, Horario: 2025-10-03 19:04:19, Temp: 23.0, Umid: 71.3
[2025-10-03 19:04:20] Dispositivo: Pico W_11f0bb, Leitura: 86, Horario: 2025-10-03 19:04:20, Temp: 22.9, Umid: 70.0
[2025-10-03 19:04:41] Dispositivo: Pico W_11f60f, Leitura: 87, Horario: 2025-10-03 19:04:41, Temp: 23.1, Umid: 71.4
[2025-10-03 19:04:42] Dispositivo: Pico W_11f0bb, Leitura: 87, Horario: 2025-10-03 19:04:43, Temp: 22.9, Umid: 70.0
[2025-10-03 19:05:03] Dispositivo: Pico W_11f60f, Leitura: 88, Horario: 2025-10-03 19:05:04, Temp: 23.1, Umid: 71.3
[2025-10-03 19:05:04] Dispositivo: Pico W_11f0bb, Leitura: 88, Horario: 2025-10-03 19:05:05, Temp: 22.9, Umid: 69.9
[2025-10-03 19:05:25] Dispositivo: Pico W_11f60f, Leitura: 89, Horario: 2025-10-03 19:05:26, Temp: 23.1, Umid: 71.3
[2025-10-03 19:05:27] Dispositivo: Pico W_11f0bb, Leitura: 89, Horario: 2025-10-03 19:05:27, Temp: 22.9, Umid: 70.0
[2025-10-03 19:05:48] Dispositivo: Pico W_11f60f, Leitura: 90, Horario: 2025-10-03 19:05:48, Temp: 23.1, Umid: 71.3
[2025-10-03 19:05:49] Dispositivo: Pico W_11f0bb, Leitura: 90, Horario: 2025-10-03 19:05:49, Temp: 23.0, Umid: 69.9
[2025-10-03 19:06:10] Dispositivo: Pico W_11f60f, Leitura: 91, Horario: 2025-10-03 19:06:11, Temp: 23.1, Umid: 71.3
[2025-10-03 19:06:11] Dispositivo: Pico W_11f0bb, Leitura: 91, Horario: 2025-10-03 19:06:12, Temp: 23.0, Umid: 69.9
[2025-10-03 19:06:32] Dispositivo: Pico W_11f60f, Leitura: 92, Horario: 2025-10-03 19:06:33, Temp: 23.1, Umid: 71.2
[2025-10-03 19:06:33] Dispositivo: Pico W_11f0bb, Leitura: 92, Horario: 2025-10-03 19:06:34, Temp: 23.0, Umid: 69.9
