[2025-10-01 11:13:00] Dispositivo: Pico W_11f60f, Leitura: 49, Horario: 2025-10-01 11:13:01, Temp: 31.6, Umid: 37.9
[2025-10-01 11:13:19] Dispositivo: Pico W_11f0bb, Leitura: 49, Horario: 2025-10-01 11:13:19, Temp: 31.7, Umid: 37.5
[2025-10-01 11:16:03] Dispositivo: Pico W_11f60f, Leitura: 50, Horario: 2025-10-01 11:16:03, Temp: 31.3, Umid: 39.0
[2025-10-01 11:16:21] Dispositivo: Pico W_11f0bb, Leitura: 50, Horario: 2025-10-01 11:16:21, Temp: 31.4, Umid: 40.4
[2025-10-01 11:19:05] Dispositivo: Pico W_11f60f, Leitura: 51, Horario: 2025-10-01 11:19:06, Temp: 31.3, Umid: 39.2
[2025-10-01 11:19:23] Dispositivo: Pico W_11f0bb, Leitura: 51, Horario: 2025-10-01 11:19:24, Temp: 31.5, Umid: 39.5
[2025-10-01 11:22:07] Dispositivo: Pico W_11f60f, Leitura: 52, Horario: 2025-10-01 11:22:08, Temp: 31.3, Umid: 39.3
[2025-10-01 11:22:25] Dispositivo: Pico W_11f0bb, Leitura: 52, Horario: 2025-10-01 11:22:26, Temp: 31.6, Umid: 40.0
[2025-10-01 11:25:10] Dispositivo: Pico W_11f60f, Leitura: 53, Horario: 2025-10-01 11:25:10, Temp: 31.5, Umid: 39.1
[2025-10-01 11:25:28] Dispositivo: Pico W_11f0bb, Leitura: 53, Horario: 2025-10-01 11:25:28, Temp: 32.0, Umid: 39.6
[2025-10-01 11:28:12] Dispositivo: Pico W_11f60f, Leitura: 54, Horario: 2025-10-01 11:28:13, Temp: 31.6, Umid: 39.5
[2025-10-01 11:28:30] Dispositivo: Pico W_11f0bb, Leitura: 54, Horario: 2025-10-01 11:28:31, Temp: 32.1, Umid: 39.8
[2025-10-01 11:31:14] Dispositivo: Pico W_11f60f, Leitura: 55, Horario: 2025-10-01 11:31:15, Temp: 31.0, Umid: 40.6
[2025-10-01 11:31:32] Dispositivo: Pico W_11f0bb, Leitura: 55, Horario: 2025-10-01 11:31:33, Temp: 31.7, Umid: 40.2
[2025-10-01 11:34:17] Dispositivo: Pico W_11f60f, Leitura: 56, Horario: 2025-10-01 11:34:17, Temp: 31.2, Umid: 40.5
[2025-10-01 11:34:35] Dispositivo: Pico W_11f0bb, Leitura: 56, Horario: 2025-10-01 11:34:35, Temp: 31.7, Umid: 40.4
[2025-10-01 11:37:19] Dispositivo: Pico W_11f60f, Leitura: 57, Horario: 2025-10-01 11:37:19, Temp: 31.4, Umid: 40.2
[2025-10-01 11:37:37] Dispositivo: Pico W_11f0bb, Leitura: 57, Horario: 2025-10-01 11:37:38, Temp: 31.9, Umid: 40.3
[2025-10-01 11:40:21] Dispositivo: Pico W_11f60f, Leitura: 58, Horario: 2025-10-01 11:40:22, Temp: 31.4, Umid: 40.3
[2025-10-01 11:40:39] Dispositivo: Pico W_11f0bb, Leitura: 58, Horario: 2025-10-01 11:40:40, Temp: 32.0, Umid: 40.3
[2025-10-01 11:43:24] Dispositivo: Pico W_11f60f, Leitura: 59, Horario: 2025-10-01 11:43:24, Temp: 31.5, Umid: 39.7
[2025-10-01 11:43:42] Dispositivo: Pico W_11f0bb, Leitura: 59, Horario: 2025-10-01 11:43:42, Temp: 32.3, Umid: 38.7
[2025-10-01 11:46:26] Dispositivo: Pico W_11f60f, Leitura: 60, Horario: 2025-10-01 11:46:26, Temp: 32.0, Umid: 37.8
[2025-10-01 11:46:44] Dispositivo: Pico W_11f0bb, Leitura: 60, Horario: 2025-10-01 11:46:45, Temp: 32.5, Umid: 37.7
[2025-10-01 11:49:28] Dispositivo: Pico W_11f60f, Leitura: 61, Horario: 2025-10-01 11:49:29, Temp: 31.8, Umid: 39.1
[2025-10-01 11:49:46] Dispositivo: Pico W_11f0bb, Leitura: 61, Horario: 2025-10-01 11:49:47, Temp: 32.5, Umid: 38.5
[2025-10-01 11:52:30] Dispositivo: Pico W_11f60f, Leitura: 62, Horario: 2025-10-01 11:52:31, Temp: 32.0, Umid: 39.2
[2025-10-01 11:52:49] Dispositivo: Pico W_11f0bb, Leitura: 62, Horario: 2025-10-01 11:52:49, Temp: 32.7, Umid: 37.8
