[2025-10-02 10:10:31] Dispositivo: Pico W_11f60f, Leitura: 83, Horario: 2025-10-02 10:10:31, Temp: 23.1, Umid: 64.5
[2025-10-02 10:10:53] Dispositivo: Pico W_11f60f, Leitura: 84, Horario: 2025-10-02 10:10:54, Temp: 23.1, Umid: 64.6
[2025-10-02 10:11:15] Dispositivo: Pico W_11f60f, Leitura: 85, Horario: 2025-10-02 10:11:16, Temp: 23.2, Umid: 64.7
[2025-10-02 10:11:38] Dispositivo: Pico W_11f60f, Leitura: 86, Horario: 2025-10-02 10:11:38, Temp: 23.2, Umid: 64.7
[2025-10-02 10:12:00] Dispositivo: Pico W_11f60f, Leitura: 87, Horario: 2025-10-02 10:12:01, Temp: 23.2, Umid: 64.8
[2025-10-02 10:12:22] Dispositivo: Pico W_11f60f, Leitura: 88, Horario: 2025-10-02 10:12:23, Temp: 23.2, Umid: 64.6
[2025-10-02 10:12:44] Dispositivo: Pico W_11f0bb, Leitura: 42, Horario: 2025-10-02 10:12:45, Temp: 25.6, Umid: 55.0
[2025-10-02 10:12:45] Dispositivo: Pico W_11f60f, Leitura: 89, Horario: 2025-10-02 10:12:45, Temp: 23.2, Umid: 64.5
[2025-10-02 10:13:07] Dispositivo: Pico W_11f60f, Leitura: 90, Horario: 2025-10-02 10:13:07, Temp: 23.3, Umid: 64.3
[2025-10-02 10:13:29] Dispositivo: Pico W_11f60f, Leitura: 91, Horario: 2025-10-02 10:13:30, Temp: 23.3, Umid: 64.2
[2025-10-02 10:13:52] Dispositivo: Pico W_11f60f, Leitura: 92, Horario: 2025-10-02 10:13:52, Temp: 23.3, Umid: 64.1
[2025-10-02 10:14:14] Dispositivo: Pico W_11f60f, Leitura: 93, Horario: 2025-10-02 10:14:14, Temp: 23.4, Umid: 64.1
[2025-10-02 10:14:36] Dispositivo: Pico W_11f60f, Leitura: 94, Horario: 2025-10-02 10:14:37, Temp: 23.4, Umid: 64.3
[2025-10-02 10:14:59] Dispositivo: Pico W_11f60f, Leitura: 95, Horario: 2025-10-02 10:14:59, Temp: 23.4, Umid: 64.6
[2025-10-02 10:15:21] Dispositivo: Pico W_11f60f, Leitura: 96, Horario: 2025-10-02 10:15:21, Temp: 23.5, Umid: 64.6
[2025-10-02 10:15:43] Dispositivo: Pico W_11f60f, Leitura: 97, Horario: 2025-10-02 10:15:44, Temp: 23.5, Umid: 64.3
[2025-10-02 10:15:47] Dispositivo: Pico W_11f0bb, Leitura: 43, Horario: 2025-10-02 10:15:47, Temp: 25.6, Umid: 55.4
[2025-10-02 10:16:05] Dispositivo: Pico W_11f60f, Leitura: 98, Horario: 2025-10-02 10:16:06, Temp: 23.5, Umid: 63.6
[2025-10-02 10:16:28] Dispositivo: Pico W_11f60f, Leitura: 99, Horario: 2025-10-02 10:16:28, Temp: 23.5, Umid: 62.9
[2025-10-02 10:16:50] Dispositivo: Pico W_11f60f, Leitura: 100, Horario: 2025-10-02 10:16:51, Temp: 23.5, Umid: 62.6
