Contagem;Dispositivo;Data_Hora_Coleta;Temperatura_C;Umidade_%
351;Pico W_F0BB;2021-01-01 01:58:32;19.50;85.90
352;Pico W_F0BB;2021-01-01 01:58:52;19.50;86.00
353;Pico W_F0BB;2021-01-01 01:59:12;19.50;85.90
354;Pico W_F0BB;2021-01-01 01:59:32;19.50;86.60
355;Pico W_F0BB;2021-01-01 01:59:53;19.50;87.10
356;Pico W_F0BB;2021-01-01 02:00:13;19.50;87.60
357;Pico W_F0BB;2021-01-01 02:00:33;19.50;87.90
358;Pico W_F0BB;2021-01-01 02:00:54;19.50;88.00
359;Pico W_F0BB;2021-01-01 02:01:14;19.50;88.30
360;Pico W_F0BB;2021-01-01 02:01:34;19.40;88.50
361;Pico W_F0BB;2021-01-01 02:01:55;19.40;88.40
362;Pico W_F0BB;2021-01-01 02:02:15;19.40;88.40
363;Pico W_F0BB;2021-01-01 02:02:35;19.40;88.30
364;Pico W_F0BB;2021-01-01 02:02:55;19.40;88.50
365;Pico W_F0BB;2021-01-01 02:03:16;19.30;88.40
366;Pico W_F0BB;2021-01-01 02:03:36;19.30;88.20
367;Pico W_F0BB;2021-01-01 02:03:56;19.20;88.50
368;Pico W_F0BB;2021-01-01 02:04:17;19.20;88.90
369;Pico W_F0BB;2021-01-01 02:04:37;19.20;89.10
370;Pico W_F0BB;2021-01-01 02:04:57;19.10;89.50
371;Pico W_F0BB;2021-01-01 02:05:18;19.20;89.60
372;Pico W_F0BB;2021-01-01 02:05:38;19.10;89.60
373;Pico W_F0BB;2021-01-01 02:05:58;19.10;89.50
374;Pico W_F0BB;2021-01-01 02:06:18;19.10;89.40
375;Pico W_F0BB;2021-01-01 02:06:39;19.10;88.70
376;Pico W_F0BB;2021-01-01 02:06:59;19.10;88.40
377;Pico W_F0BB;2021-01-01 02:07:19;19.10;88.60
378;Pico W_F0BB;2021-01-01 02:07:40;19.10;89.00
379;Pico W_F0BB;2021-01-01 02:08:00;19.10;89.30
380;Pico W_F0BB;2021-01-01 02:08:20;19.10;89.30
381;Pico W_F0BB;2021-01-01 02:08:41;19.10;89.00
382;Pico W_F0BB;2021-01-01 02:09:01;19.10;88.70
383;Pico W_F0BB;2021-01-01 02:09:21;19.10;89.00
384;Pico W_F0BB;2021-01-01 02:09:42;19.10;89.30
385;Pico W_F0BB;2021-01-01 02:10:02;19.10;89.70
386;Pico W_F0BB;2021-01-01 02:10:22;19.10;89.70
387;Pico W_F0BB;2021-01-01 02:10:42;19.10;89.60
388;Pico W_F0BB;2021-01-01 02:11:03;19.10;89.10
389;Pico W_F0BB;2021-01-01 02:11:23;19.10;88.80
390;Pico W_F0BB;2021-01-01 02:11:43;19.10;88.70
391;Pico W_F0BB;2021-01-01 02:12:04;19.10;88.90
392;Pico W_F0BB;2021-01-01 02:12:24;19.10;89.00
393;Pico W_F0BB;2021-01-01 02:12:44;19.10;88.60
394;Pico W_F0BB;2021-01-01 02:13:05;19.10;88.40
395;Pico W_F0BB;2021-01-01 02:13:25;19.20;88.00
396;Pico W_F0BB;2021-01-01 02:13:45;19.30;87.60
397;Pico W_F0BB;2021-01-01 02:14:05;19.30;87.20
398;Pico W_F0BB;2021-01-01 02:14:26;19.30;87.10
399;Pico W_F0BB;2021-01-01 02:14:46;19.30;87.20
400;Pico W_F0BB;2021-01-01 02:15:06;19.30;87.10
401;Pico W_F0BB;2021-01-01 02:15:27;19.30;87.10
402;Pico W_F0BB;2021-01-01 02:15:47;19.20;87.00
403;Pico W_F0BB;2021-01-01 02:16:07;19.10;87.00
404;Pico W_F0BB;2021-01-01 02:16:28;19.10;88.30
405;Pico W_F0BB;2021-01-01 02:16:48;19.10;88.70
406;Pico W_F0BB;2021-01-01 02:17:08;19.00;88.30
407;Pico W_F0BB;2021-01-01 02:17:29;19.00;88.20
408;Pico W_F0BB;2021-01-01 02:17:49;19.00;88.30
409;Pico W_F0BB;2021-01-01 02:18:09;19.00;88.50
410;Pico W_F0BB;2021-01-01 02:18:29;19.00;88.50
411;Pico W_F0BB;2021-01-01 02:18:50;19.00;88.50
412;Pico W_F0BB;2021-01-01 02:19:10;18.90;88.70
