[2025-10-04 11:36:44] Dispositivo: Pico W_11f60f, Leitura: 165, Horario: 2025-10-04 11:36:45, Temp: 25.4, Umid: 56.4
[2025-10-04 11:37:06] Dispositivo: Pico W_11f60f, Leitura: 166, Horario: 2025-10-04 11:37:07, Temp: 25.4, Umid: 55.7
[2025-10-04 11:37:29] Dispositivo: Pico W_11f60f, Leitura: 167, Horario: 2025-10-04 11:37:29, Temp: 25.4, Umid: 56.0
[2025-10-04 11:37:51] Dispositivo: Pico W_11f60f, Leitura: 168, Horario: 2025-10-04 11:37:51, Temp: 25.4, Umid: 56.3
[2025-10-04 11:38:13] Dispositivo: Pico W_11f60f, Leitura: 169, Horario: 2025-10-04 11:38:14, Temp: 25.4, Umid: 55.1
[2025-10-04 11:38:36] Dispositivo: Pico W_11f60f, Leitura: 170, Horario: 2025-10-04 11:38:36, Temp: 25.4, Umid: 55.3
[2025-10-04 11:38:58] Dispositivo: Pico W_11f60f, Leitura: 171, Horario: 2025-10-04 11:38:58, Temp: 25.4, Umid: 55.4
[2025-10-04 11:39:20] Dispositivo: Pico W_11f60f, Leitura: 172, Horario: 2025-10-04 11:39:21, Temp: 25.4, Umid: 55.7
[2025-10-04 11:39:43] Dispositivo: Pico W_11f60f, Leitura: 173, Horario: 2025-10-04 11:39:43, Temp: 25.4, Umid: 55.3
[2025-10-04 11:40:05] Dispositivo: Pico W_11f60f, Leitura: 174, Horario: 2025-10-04 11:40:05, Temp: 25.4, Umid: 54.8
[2025-10-04 11:40:27] Dispositivo: Pico W_11f60f, Leitura: 175, Horario: 2025-10-04 11:40:28, Temp: 25.4, Umid: 55.7
[2025-10-04 11:40:52] Dispositivo: Pico W_11f60f, Leitura: 176, Horario: 2025-10-04 11:40:50, Temp: 25.4, Umid: 55.7
[2025-10-04 11:41:12] Dispositivo: Pico W_11f60f, Leitura: 177, Horario: 2025-10-04 11:41:12, Temp: 25.4, Umid: 55.5
[2025-10-04 11:41:34] Dispositivo: Pico W_11f60f, Leitura: 178, Horario: 2025-10-04 11:41:35, Temp: 25.4, Umid: 55.1
[2025-10-04 11:41:56] Dispositivo: Pico W_11f60f, Leitura: 179, Horario: 2025-10-04 11:41:57, Temp: 25.4, Umid: 54.9
[2025-10-04 11:42:19] Dispositivo: Pico W_11f60f, Leitura: 180, Horario: 2025-10-04 11:42:19, Temp: 25.5, Umid: 54.4
[2025-10-04 11:42:41] Dispositivo: Pico W_11f60f, Leitura: 181, Horario: 2025-10-04 11:42:41, Temp: 25.5, Umid: 54.6
[2025-10-04 11:43:03] Dispositivo: Pico W_11f60f, Leitura: 182, Horario: 2025-10-04 11:43:04, Temp: 25.4, Umid: 55.3
[2025-10-04 11:43:28] Dispositivo: Pico W_11f60f, Leitura: 183, Horario: 2025-10-04 11:43:26, Temp: 25.4, Umid: 55.4
[2025-10-04 11:43:48] Dispositivo: Pico W_11f60f, Leitura: 184, Horario: 2025-10-04 11:43:48, Temp: 25.4, Umid: 55.9
[2025-10-04 11:44:10] Dispositivo: Pico W_11f60f, Leitura: 185, Horario: 2025-10-04 11:44:11, Temp: 25.4, Umid: 55.8
[2025-10-04 11:44:32] Dispositivo: Pico W_11f60f, Leitura: 186, Horario: 2025-10-04 11:44:33, Temp: 25.4, Umid: 55.6
